                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.852,                 4.4255,                 4.4207,                0.00228,                0.04878,                0.00191,                0.00076,                 4.4096,                 3.9421,                 4.1586,                  0.099,                  0.001,                  0.001
                      2,                 4.8043,                 4.3264,                 4.4038,                0.00242,                0.04878,                0.00154,                0.00056,                 4.4097,                 3.9418,                  4.158,                 0.0975,                 0.0025,                 0.0025
                      3,                 4.7039,                 56.283,                  4.125,                 0.0021,                0.06098,                0.00251,                0.00118,                 4.3793,                 3.7195,                 4.0386,                  0.096,              0.0039998,              0.0039998
                      4,                 4.4339,                 84.048,                 4.0811,                0.00292,                0.06098,                0.00251,                0.00116,                 4.3796,                 3.7645,                 4.0439,                 0.0945,              0.0054995,              0.0054995
                      5,                 4.5181,                 47.262,                 3.9222,                0.00292,                0.06098,                0.00251,                0.00116,                    nan,                    nan,                    nan,               0.092999,              0.0069989,              0.0069989
                      6,                 4.4438,                 5.6979,                 3.4612,                0.00292,                0.06098,                0.00251,                0.00116,                    nan,                    nan,                    nan,               0.091498,              0.0084979,              0.0084979
                      7,                 4.2257,                 2.9931,                 2.9559,                0.00292,                0.06098,                0.00251,                0.00116,                    nan,                    nan,                    nan,               0.089996,              0.0099965,              0.0099965
                      8,                 3.9704,                 2.8419,                 2.6511,                0.00292,                0.06098,                0.00251,                0.00116,                    nan,                    nan,                    nan,               0.088494,               0.011494,               0.011494
                      9,                  3.838,                 2.8285,                 2.3459,                0.00292,                0.06098,                0.00251,                0.00116,                    nan,                    nan,                    nan,               0.086992,               0.012992,               0.012992
                     10,                 3.5191,                 2.5609,                 2.0787,                0.00292,                0.06098,                0.00251,                0.00116,                    nan,                    nan,                    nan,               0.085489,               0.014489,               0.014489
                     11,                 3.0538,                 2.2803,                 1.9429,                0.00292,                0.06098,                0.00251,                0.00116,                    nan,                    nan,                    nan,               0.083984,               0.015984,               0.015984
                     12,                 2.8511,                 2.1803,                 1.8221,                0.00292,                0.06098,                0.00251,                0.00116,                    nan,                    nan,                    nan,               0.082479,               0.017479,               0.017479
                     13,                 2.7219,                 2.0923,                 1.7131,                0.00292,                0.06098,                0.00251,                0.00116,                    nan,                    nan,                    nan,               0.080973,               0.018973,               0.018973
                     14,                 2.6083,                 1.8856,                 1.6673,                0.00292,                0.06098,                0.00251,                0.00116,                    nan,                    nan,                    nan,               0.079466,               0.020466,               0.020466
                     15,                 2.5842,                 1.9629,                 1.7327,                0.00292,                0.06098,                0.00251,                0.00116,                    nan,                    nan,                    nan,               0.077958,               0.021958,               0.021958
                     16,                 2.5696,                 1.9007,                 1.6513,                0.00292,                0.06098,                0.00251,                0.00116,                    nan,                    nan,                    nan,               0.076448,               0.023448,               0.023448
                     17,                 2.4165,                 1.7292,                 1.5709,                0.00292,                0.06098,                0.00251,                0.00116,                    nan,                    nan,                    nan,               0.074938,               0.024938,               0.024938
                     18,                 2.4658,                 1.7505,                 1.5446,                0.00292,                0.06098,                0.00251,                0.00116,                    nan,                    nan,                    nan,               0.073425,               0.026425,               0.026425
                     19,                 2.4402,                 1.8293,                 1.6959,                0.00292,                0.06098,                0.00251,                0.00116,                    nan,                    nan,                    nan,               0.071911,               0.027911,               0.027911
